RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,0,22371,Aaron Baddeley,0.722,37.542,52
2,0,47993,Denny McCarthy,0.686,52.123,76
3,0,50493,Justin Suh,0.657,33.515,51
4,0,39327,Ben Silverman,0.653,41.150,63
5,0,35506,Mackenzie Hughes,0.651,50.112,77
6,0,51977,Max Greyserman,0.625,37.529,60
7,0,40250,Taylor Pendrith,0.573,38.420,67
8,0,48081,Xander Schauffele,0.546,35.519,65
9,0,28089,Jason Day,0.541,31.891,59
10,0,33653,Thomas Detry,0.532,34.584,65
11,0,59836,Pierceson Coody,0.515,27.278,53
12,0,60004,Jacob Bridgeman,0.514,24.171,47
12,0,50188,S.H. Kim,0.514,37.530,73
14,0,34099,Harris English,0.503,32.688,65
15,0,47504,Sam Burns,0.496,32.716,66
16,0,51766,Wyndham Clark,0.476,29.497,62
17,0,24024,Zach Johnson,0.475,18.995,40
18,0,23108,Matt Kuchar,0.467,26.145,56
19,0,45522,Christiaan Bezuidenhout,0.459,33.062,72
20,0,35461,Beau Hossler,0.451,28.385,63
21,0,29420,Billy Horschel,0.442,29.631,67
22,0,30927,Brendon Todd,0.431,35.349,82
23,0,52372,Cameron Champ,0.421,17.276,41
24,0,40098,Matt Fitzpatrick,0.416,25.813,62
25,0,24502,Adam Scott,0.398,24.698,62
26,0,46442,Maverick McNealy,0.383,26.420,69
27,0,40162,Justin Lower,0.359,25.151,70
28,0,47983,Chad Ramey,0.351,19.322,55
29,0,32333,Kevin Tway,0.349,12.550,36
30,0,56630,Akshay Bhatia,0.345,27.225,79
31,0,52215,Robert MacIntyre,0.321,20.210,63
32,0,34466,Peter Malnati,0.319,19.438,61
32,0,57900,Chandler Phillips,0.319,19.149,60
34,0,40006,Erik van Rooyen,0.317,19.629,62
35,0,51634,Sahith Theegala,0.311,25.182,81
36,0,33408,Tyson Alexander,0.310,15.489,50
37,0,34098,Russell Henley,0.304,19.447,64
38,0,34563,Chesson Hadley,0.285,14.541,51
39,0,55893,Sam Stevens,0.282,18.315,65
40,0,27644,Brian Harman,0.280,21.250,76
41,0,34256,Andrew Putnam,0.279,18.435,66
42,0,54591,Ben Griffin,0.270,19.979,74
43,0,46717,Viktor Hovland,0.269,13.993,52
43,0,27936,Martin Laird,0.269,12.633,47
45,0,33968,Thorbjørn Olesen,0.251,10.021,40
46,0,47995,Davis Riley,0.242,14.289,59
47,0,35450,Patrick Cantlay,0.234,12.868,55
47,0,47591,Eric Cole,0.234,19.382,83
49,0,54421,Garrick Higgo,0.227,11.811,52
50,0,27349,Alex Noren,0.213,12.753,60
51,0,32791,K.H. Lee,0.204,10.379,51
52,0,51894,Vince Whaley,0.197,7.688,39
53,0,29936,Ryan Fox,0.191,10.106,53
54,0,52514,Trace Crowe,0.186,7.449,40
55,0,49771,J.T. Poston,0.184,12.872,70
56,0,28237,Rory McIlroy,0.173,10.748,62
57,0,54576,Patrick Fishburn,0.170,6.630,39
58,0,50525,Collin Morikawa,0.165,10.730,65
59,0,54783,Dylan Wu,0.158,9.608,61
60,0,52955,Ludvig Åberg,0.151,9.519,63
61,0,33486,Roger Sloan,0.139,5.988,43
62,0,47679,Victor Perez,0.135,7.690,57
