RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,# OF BIRDIES,TOTAL ROUNDS
1,0,46046,Scottie Scheffler,4.88,366,75
2,0,47504,Sam Burns,4.42,340,77
3,0,39546,Keith Mitchell,4.38,320,73
4,0,48081,Xander Schauffele,4.37,345,79
5,0,50525,Collin Morikawa,4.33,325,75
6,0,39975,Michael Kim,4.31,280,65
7,0,34587,Chan Kim,4.3,301,70
8,0,46717,Viktor Hovland,4.28,244,57
8,0,39971,Sungjae Im,4.28,372,87
10,0,32757,Patton Kizzire,4.27,209,49
11,0,51766,Wyndham Clark,4.25,302,71
11,0,29725,Tony Finau,4.25,353,83
11,0,57975,Harry Hall,4.25,285,67
11,0,40250,Taylor Pendrith,4.25,319,75
15,0,35532,Tom Hoge,4.22,401,95
16,0,59866,Nick Dunlap,4.21,282,67
17,0,33948,Byeong Hun An,4.2,315,75
17,0,52514,Trace Crowe,4.2,210,50
17,0,40162,Justin Lower,4.2,332,79
20,0,12716,Charley Hoffman,4.19,247,59
21,0,60004,Jacob Bridgeman,4.18,251,60
21,0,51634,Sahith Theegala,4.18,372,89
21,0,33448,Justin Thomas,4.18,280,67
24,0,59836,Pierceson Coody,4.17,271,65
24,0,46442,Maverick McNealy,4.17,317,76
26,0,37275,Sam Ryder,4.16,254,61
27,0,52955,Ludvig Åberg,4.14,294,71
27,0,27064,Jhonattan Vegas,4.14,236,57
29,0,50484,Hayden Springer,4.13,227,55
30,0,45157,Cam Davis,4.12,321,78
30,0,51977,Max Greyserman,4.12,301,73
30,0,57900,Chandler Phillips,4.12,276,67
33,0,33653,Thomas Detry,4.1,287,70
33,0,55182,Tom Kim,4.1,328,80
35,0,58168,Davis Thompson,4.09,352,86
36,0,28089,Jason Day,4.08,298,73
36,0,24024,Zach Johnson,4.08,196,48
36,0,32640,Troy Merritt,4.08,257,63
36,0,40006,Erik van Rooyen,4.08,290,71
36,0,52513,Carson Young,4.08,261,64
41,0,50188,S.H. Kim,4.07,342,84
42,0,35450,Patrick Cantlay,4.06,280,69
42,0,33399,Adam Hadwin,4.06,313,77
42,0,60067,Joe Highsmith,4.06,219,54
42,0,28237,Rory McIlroy,4.06,280,69
46,0,34046,Jordan Spieth,4.04,283,70
47,0,35461,Beau Hossler,4.03,278,69
48,0,39997,Corey Conners,4.02,350,87
48,0,59143,Mac Meissner,4.02,253,63
48,0,49771,J.T. Poston,4.02,326,81
51,0,55893,Sam Stevens,4.01,313,78
52,0,30926,Chris Kirk,4,300,75
53,0,54591,Ben Griffin,3.99,359,90
54,0,54783,Dylan Wu,3.98,259,65
54,0,57366,Cameron Young,3.98,322,81
56,0,51696,Rico Hoey,3.97,250,63
56,0,36799,Stephan Jaeger,3.97,290,73
56,0,37455,Si Woo Kim,3.97,345,87
56,0,47995,Davis Riley,3.97,254,64
56,0,50493,Justin Suh,3.97,234,59
61,0,51349,Nico Echavarria,3.96,269,68
62,0,33141,Keegan Bradley,3.95,312,79
62,0,46441,Robby Shelton,3.95,241,61
64,0,36801,Mark Hubbard,3.94,319,81
64,0,51997,Andrew Novak,3.94,264,67
64,0,36699,Patrick Rodgers,3.94,307,78
64,0,24502,Adam Scott,3.94,280,71
64,0,48887,Matt Wallace,3.94,248,63
69,0,45242,Kevin Yu,3.93,240,61
70,0,59095,Chris Gotterup,3.92,251,64
70,0,52215,Robert MacIntyre,3.92,294,75
70,0,48867,Matti Schmid,3.92,247,63
70,0,39324,J.J. Spaun,3.92,239,61
74,0,32070,Rafael Campos,3.91,180,46
74,0,35310,Lanto Griffin,3.91,219,56
74,0,32839,Hideki Matsuyama,3.91,274,70
77,0,56630,Akshay Bhatia,3.9,347,89
77,0,54576,Patrick Fishburn,3.9,199,51
