RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL ROUNDS
1,0,46046,Scottie Scheffler,68.645,5101,47.357,75
2,0,48081,Xander Schauffele,69.087,5412,45.909,79
3,0,50525,Collin Morikawa,69.751,5201,30.298,75
4,0,29420,Billy Horschel,69.875,5490,30.104,79
5,0,28237,Rory McIlroy,69.914,4812,12.037,69
6,0,24502,Adam Scott,69.969,4944,23.807,71
7,0,27349,Alex Noren,70.005,5067,43.369,73
8,0,58168,Davis Thompson,70.007,5972,48.606,86
9,0,39546,Keith Mitchell,70.019,5040,71.392,73
10,0,46414,Aaron Rai,70.027,6167,65.43,89
11,0,52955,Ludvig Åberg,70.031,4931,41.199,71
12,0,32839,Hideki Matsuyama,70.109,4874,33.638,70
13,0,47504,Sam Burns,70.203,5356,49.666,77
14,0,34098,Russell Henley,70.215,5094,31.679,73
15,0,46442,Maverick McNealy,70.239,5275,63.143,76
16,0,39997,Corey Conners,70.24,6071,39.92,87
17,0,51977,Max Greyserman,70.264,5068,61.248,73
18,0,52215,Robert MacIntyre,70.266,5204,65.949,75
19,0,47679,Victor Perez,70.275,4749,29.684,68
20,0,40250,Taylor Pendrith,70.279,5224,46.911,75
21,0,29725,Tony Finau,70.332,5787,50.535,83
22,0,51997,Andrew Novak,70.336,4646,66.479,67
23,0,54591,Ben Griffin,70.34,6238,92.621,90
24,0,33204,Shane Lowry,70.342,5112,22.963,73
25,0,51634,Sahith Theegala,70.351,6213,48.213,89
26,0,45522,Christiaan Bezuidenhout,70.363,5591,38.057,80
27,0,37455,Si Woo Kim,70.365,6069,52.743,87
28,0,39971,Sungjae Im,70.372,6056,66.324,87
29,0,27064,Jhonattan Vegas,70.4,3952,60.774,57
30,0,33448,Justin Thomas,70.414,4682,35.72,67
31,0,39327,Ben Silverman,70.42,5065,75.675,73
32,0,27644,Brian Harman,70.434,5811,35.034,83
33,0,34587,Chan Kim,70.439,4854,76.741,70
34,0,30911,Tommy Fleetwood,70.442,4964,37.417,71
35,0,51766,Wyndham Clark,70.444,4942,59.526,71
36,0,56630,Akshay Bhatia,70.448,6225,44.914,89
37,0,52375,Doug Ghim,70.452,4733,57.743,68
38,0,47993,Denny McCarthy,70.506,5813,39.034,83
39,0,35506,Mackenzie Hughes,70.511,5797,55.382,83
40,0,59143,Mac Meissner,70.525,4387,56.106,63
41,0,35450,Patrick Cantlay,70.549,4820,47.865,69
42,0,32367,Jorge Campillo,70.563,3636,33.265,52
43,0,57900,Chandler Phillips,70.574,4666,62.462,67
44,0,48887,Matt Wallace,70.584,4382,64.783,63
45,0,33653,Thomas Detry,70.6,4899,43.003,70
46,0,48117,Kurt Kitayama,70.609,4690,40.782,67
47,0,40162,Justin Lower,70.61,5517,61.205,79
48,0,37378,Min Woo Lee,70.621,4632,29.002,66
49,0,36801,Mark Hubbard,70.623,5651,69.425,81
50,0,33948,Byeong Hun An,70.627,5251,46.016,75
50,0,35532,Tom Hoge,70.627,6629,80.534,95
52,0,40006,Erik van Rooyen,70.651,4946,70.216,71
53,0,35461,Beau Hossler,70.658,4815,60.408,69
54,0,32333,Kevin Tway,70.663,3067,42.18,44
55,0,57975,Harry Hall,70.671,4663,71.935,67
56,0,60004,Jacob Bridgeman,70.676,4172,68.583,60
57,0,55893,Sam Stevens,70.688,5434,79.697,78
58,0,29908,C.T. Pan,70.691,3302,20.497,47
59,0,55182,Tom Kim,70.694,5608,47.533,80
60,0,24024,Zach Johnson,70.695,3354,39.381,48
61,0,46717,Viktor Hovland,70.7,3992,37.884,57
62,0,29936,Ryan Fox,70.742,4383,2.984,62
63,0,33141,Keegan Bradley,70.748,5553,36.109,79
64,0,40098,Matt Fitzpatrick,70.751,4996,27.316,71
65,0,28089,Jason Day,70.758,5106,59.335,73
66,0,51287,Ryo Hisatsune,70.804,4898,58.293,70
67,0,12716,Charley Hoffman,70.832,4133,46.079,59
68,0,28252,Seamus Power,70.836,5387,67.369,77
69,0,57366,Cameron Young,70.841,5704,34.136,81
70,0,34046,Jordan Spieth,70.844,4924,35.066,70
71,0,57362,Austin Eckroat,70.856,5784,26.192,82
72,0,39975,Michael Kim,70.861,4541,64.942,65
72,0,49771,J.T. Poston,70.861,5688,51.765,81
74,0,34099,Harris English,70.862,5283,31.683,75
75,0,23108,Matt Kuchar,70.869,4235,17.147,60
76,0,39324,J.J. Spaun,70.875,4268,55.356,61
76,0,45242,Kevin Yu,70.875,4263,60.359,61
78,0,30927,Brendon Todd,70.878,6114,52.354,87
79,0,36699,Patrick Rodgers,70.879,5459,69.583,78
80,0,51696,Rico Hoey,70.886,4403,62.808,63
81,0,47483,Will Zalatoris,70.893,4657,21.961,66
82,0,32791,K.H. Lee,70.901,4199,55.047,60
83,0,36799,Stephan Jaeger,70.904,5131,44.996,73
84,0,30163,Henrik Norlander,70.912,3059,61.148,44
85,0,54576,Patrick Fishburn,70.923,3557,60.09,51
86,0,51890,Greyson Sigg,70.928,4489,50.376,64
87,0,49960,Sepp Straka,70.933,5287,32.977,75
87,0,52513,Carson Young,70.933,4474,65.737,64
89,0,33399,Adam Hadwin,70.941,5417,45.46,77
