RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
1,0,46046,Scottie Scheffler,2.496,154.741,148.879,5.864,62
2,0,48081,Xander Schauffele,2.068,134.391,98.872,35.519,65
3,0,28237,Rory McIlroy,1.412,87.535,76.789,10.748,62
4,0,32839,Hideki Matsuyama,1.377,82.632,87.573,-4.941,60
5,0,50525,Collin Morikawa,1.315,85.478,74.748,10.73,65
6,0,46414,Aaron Rai,1.185,88.874,84.793,4.082,75
7,0,52955,Ludvig Åberg,1.138,71.663,62.145,9.519,63
8,0,29725,Tony Finau,1.033,73.363,94.42,-21.059,71
8,0,51634,Sahith Theegala,1.033,83.654,58.471,25.182,81
10,0,51766,Wyndham Clark,1.032,63.954,34.456,29.497,62
11,0,39546,Keith Mitchell,1.024,68.608,92.451,-23.844,67
12,0,58168,Davis Thompson,1.013,73.961,67.699,6.263,73
13,0,27349,Alex Noren,1.011,60.644,47.892,12.753,60
14,0,47504,Sam Burns,1.003,66.208,33.493,32.716,66
15,0,46442,Maverick McNealy,0.97,66.93,40.51,26.42,69
16,0,39997,Corey Conners,0.962,75.059,88.174,-13.114,78
17,0,34098,Russell Henley,0.95,60.797,41.349,19.447,64
18,0,24502,Adam Scott,0.938,58.174,33.475,24.698,62
19,0,39327,Ben Silverman,0.89,56.041,14.89,41.15,63
20,0,51997,Andrew Novak,0.812,51.134,46.832,4.301,63
21,0,40250,Taylor Pendrith,0.779,52.215,13.793,38.42,67
22,0,27644,Brian Harman,0.773,58.723,37.474,21.25,76
23,0,39971,Sungjae Im,0.769,57.678,47.707,9.971,75
24,0,56630,Akshay Bhatia,0.748,59.102,31.874,27.225,79
25,0,29420,Billy Horschel,0.731,48.988,19.356,29.631,67
26,0,52375,Doug Ghim,0.729,43.75,58.388,-14.64,60
27,0,52215,Robert MacIntyre,0.725,45.681,25.471,20.21,63
28,0,46717,Viktor Hovland,0.721,37.473,23.48,13.993,52
29,0,51977,Max Greyserman,0.702,42.106,4.577,37.529,60
30,0,37455,Si Woo Kim,0.701,51.852,73.366,-21.513,74
31,0,47993,Denny McCarthy,0.698,53.042,0.92,52.123,76
32,0,59143,Mac Meissner,0.673,35.677,37.864,-2.187,53
33,0,35450,Patrick Cantlay,0.664,36.529,23.661,12.868,55
34,0,30911,Tommy Fleetwood,0.659,42.157,39.583,2.574,64
35,0,33204,Shane Lowry,0.657,40.052,44.712,-4.657,61
36,0,34587,Chan Kim,0.65,37.04,57.04,-20.002,57
37,0,45522,Christiaan Bezuidenhout,0.641,46.134,13.072,33.062,72
38,0,35532,Tom Hoge,0.607,51.565,45.284,6.28,85
39,0,54591,Ben Griffin,0.603,44.603,24.625,19.979,74
40,0,40006,Erik van Rooyen,0.593,36.78,17.153,19.629,62
41,0,33448,Justin Thomas,0.574,32.154,60.081,-27.927,56
42,0,54576,Patrick Fishburn,0.557,21.718,15.087,6.63,39
43,0,35506,Mackenzie Hughes,0.535,41.187,-8.926,50.112,77
44,0,33948,Byeong Hun An,0.499,32.957,38.196,-5.24,66
45,0,27064,Jhonattan Vegas,0.492,24.123,45.325,-21.204,49
46,0,47679,Victor Perez,0.489,27.853,20.165,7.69,57
47,0,57975,Harry Hall,0.487,28.742,20.914,7.827,59
48,0,28089,Jason Day,0.483,28.468,-3.422,31.891,59
49,0,48117,Kurt Kitayama,0.477,27.694,48.158,-20.463,58
50,0,55893,Sam Stevens,0.468,30.404,12.088,18.315,65
51,0,37378,Min Woo Lee,0.466,25.646,30.691,-5.044,55
52,0,29908,C.T. Pan,0.461,20.726,23.93,-3.203,45
53,0,60004,Jacob Bridgeman,0.453,21.282,-2.89,24.171,47
54,0,57900,Chandler Phillips,0.421,25.279,6.129,19.149,60
55,0,48887,Matt Wallace,0.415,22.846,15.66,7.185,55
56,0,40098,Matt Fitzpatrick,0.406,25.157,-0.656,25.813,62
57,0,55182,Tom Kim,0.398,27.86,32.873,-5.011,70
58,0,35461,Beau Hossler,0.386,24.339,-4.046,28.385,63
58,0,24024,Zach Johnson,0.386,15.442,-3.553,18.995,40
60,0,39324,J.J. Spaun,0.375,22.12,22.461,-0.342,59
61,0,33141,Keegan Bradley,0.34,24.168,34.212,-10.045,71
62,0,40162,Justin Lower,0.318,22.249,-2.904,25.151,70
63,0,25900,Lucas Glover,0.312,20.6,42.2,-21.602,66
64,0,36801,Mark Hubbard,0.309,21.949,20.186,1.764,71
65,0,54783,Dylan Wu,0.294,17.927,8.317,9.608,61
66,0,51696,Rico Hoey,0.291,14.837,30.511,-15.677,51
67,0,34099,Harris English,0.278,18.093,-14.596,32.688,65
68,0,36799,Stephan Jaeger,0.271,17.096,24.621,-7.523,63
69,0,34046,Jordan Spieth,0.265,16.708,17.091,-0.383,63
70,0,57362,Austin Eckroat,0.262,18.636,30.034,-11.397,71
70,0,57366,Cameron Young,0.262,18.842,35.736,-16.891,72
72,0,32757,Patton Kizzire,0.256,10.229,18.103,-7.875,40
73,0,32367,Jorge Campillo,0.241,10.14,14.774,-4.634,42
73,0,51287,Ryo Hisatsune,0.241,13.722,21.754,-8.033,57
75,0,27139,David Skinns,0.233,12.355,11.004,1.349,53
76,0,33486,Roger Sloan,0.232,9.979,3.99,5.988,43
77,0,33653,Thomas Detry,0.231,15.012,-19.569,34.584,65
78,0,23108,Matt Kuchar,0.22,12.333,-13.815,26.145,56
78,0,28775,Nate Lashley,0.22,9.899,4.179,5.719,45
80,0,36699,Patrick Rodgers,0.201,15.295,10.705,4.588,76
81,0,34256,Andrew Putnam,0.199,13.163,-5.273,18.435,66
82,0,50484,Hayden Springer,0.196,8.801,8.065,0.733,45
83,0,34255,Joseph Bramlett,0.194,11.059,25.476,-14.418,57
84,0,28252,Seamus Power,0.193,14.496,19.209,-4.713,75
85,0,30163,Henrik Norlander,0.192,6.897,17.876,-10.98,36
86,0,49771,J.T. Poston,0.18,12.587,-0.283,12.872,70
87,0,12716,Charley Hoffman,0.179,9.151,20.433,-11.284,51
88,0,52513,Carson Young,0.166,9.447,9.085,0.36,57
89,0,49960,Sepp Straka,0.158,10.302,12.528,-2.227,65
90,0,52666,Sami Valimaki,0.15,6.748,7.084,-0.337,45
91,0,32333,Kevin Tway,0.135,4.86,-7.692,12.55,36
92,0,52514,Trace Crowe,0.122,4.868,-2.582,7.449,40
93,0,40115,Adam Svensson,0.117,9.948,43.296,-33.349,85
94,0,33399,Adam Hadwin,0.116,7.634,1.923,5.71,66
95,0,30927,Brendon Todd,0.115,9.426,-25.924,35.349,82
96,0,47591,Eric Cole,0.11,9.145,-10.238,19.382,83
97,0,33968,Thorbjørn Olesen,0.101,4.028,-5.992,10.021,40
98,0,25493,Nick Taylor,0.096,6.131,4.771,1.36,64
99,0,40058,Zac Blair,0.074,4.378,-0.663,5.039,59
100,0,34563,Chesson Hadley,0.072,3.658,-10.885,14.541,51
100,0,26596,Ryan Moore,0.072,4.078,34.785,-30.709,57
102,0,30926,Chris Kirk,0.06,3.715,29,-25.285,62
103,0,29936,Ryan Fox,0.05,2.641,-7.463,10.106,53
104,0,45242,Kevin Yu,0.033,1.737,28.261,-26.524,53
105,0,47483,Will Zalatoris,0.026,1.424,13.682,-12.257,55
106,0,59095,Chris Gotterup,0.018,0.986,-6.431,7.416,56
107,0,32791,K.H. Lee,0.01,0.5,-9.881,10.379,51
108,0,49947,Taylor Moore,0.008,0.613,-4.94,5.553,73
109,0,48153,Matthieu Pavon,-0.014,-0.723,-7.324,6.602,53
110,0,31646,Emiliano Grillo,-0.05,-3.667,-7.855,4.189,73
111,0,59836,Pierceson Coody,-0.064,-3.373,-30.652,27.278,53
112,0,32640,Troy Merritt,-0.066,-3.357,4.367,-7.725,51
113,0,39975,Michael Kim,-0.067,-3.493,-7.291,3.796,52
114,0,34076,Joel Dahmen,-0.074,-4.372,32.449,-36.822,59
115,0,50188,S.H. Kim,-0.075,-5.468,-42.998,37.53,73
116,0,26476,Chez Reavie,-0.092,-4.308,14.667,-18.978,47
117,0,39977,Max Homa,-0.096,-6.252,-1.505,-4.748,65
118,0,52372,Cameron Champ,-0.099,-4.059,-21.338,17.276,41
119,0,51890,Greyson Sigg,-0.116,-6.407,28.158,-34.568,55
120,0,40026,Daniel Berger,-0.117,-5.272,25.268,-30.54,45
121,0,22371,Aaron Baddeley,-0.131,-6.801,-44.346,37.542,52
122,0,35310,Lanto Griffin,-0.142,-6.68,2.814,-9.496,47
123,0,47983,Chad Ramey,-0.169,-9.277,-28.602,19.322,55
124,0,52453,Nicolai Højgaard,-0.176,-7.898,2.504,-10.401,45
125,0,48867,Matti Schmid,-0.183,-9.335,-12.285,2.947,51
126,0,46441,Robby Shelton,-0.192,-10.957,-11.463,0.503,57
127,0,37275,Sam Ryder,-0.206,-10.525,-10.444,-0.082,51
128,0,47988,Nick Hardy,-0.212,-13.801,-1.153,-12.651,65
129,0,47420,Jake Knapp,-0.225,-14.85,-10.402,-4.448,66
130,0,59866,Nick Dunlap,-0.24,-14.424,-15.647,1.225,60
131,0,45157,Cam Davis,-0.251,-17.548,-4.674,-12.873,70
131,0,52374,Brandon Wu,-0.251,-13.04,-11.075,-1.968,52
133,0,59442,Parker Coody,-0.289,-13.859,-3.153,-10.709,48
134,0,27936,Martin Laird,-0.295,-13.848,-26.482,12.633,47
135,0,47347,Adam Schenk,-0.304,-20.646,-21.633,0.985,68
136,0,47663,Kevin Dougherty,-0.332,-14.276,-1.051,-13.227,43
137,0,51349,Nico Echavarria,-0.336,-18.474,-12.66,-5.817,55
138,0,36884,Ben Kohles,-0.357,-20.72,-19.161,-1.562,58
139,0,50493,Justin Suh,-0.387,-19.738,-53.256,33.515,51
140,0,60067,Joe Highsmith,-0.395,-16.996,1.381,-18.38,43
141,0,54628,Lee Hodges,-0.399,-27.538,-10.181,-17.357,69
142,0,36871,Matt NeSmith,-0.432,-22.882,-11.71,-11.173,53
143,0,22405,Justin Rose,-0.445,-23.588,-24.748,1.161,53
