PLAYER,AVG_Birdies,# OF BIRDIES,AVG_Driv,TOTAL DISTANCE,TOTAL DRIVES,RANK,Avg Score,TOTAL STROKES,TOTAL ADJUSTMENT,AVG_SG:Tot,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS,AVG_SGAppr,TOTAL SG:APP,MEASURED ROUNDS_SGAppr,%_GIReg,GREENS HIT,# HOLES,RELATIVE/PAR,AVG_PUT,TOTAL SG:PUTTING,MEASURED ROUNDS_PUT,%_Scram,PAR OR BETTER,MISSED GIR,%_Driv_Acc,FAIRWAYS HIT,POSSIBLE FAIRWAYS,Overall_Acc,AVG_SG_Driv
Scottie Scheffler,4.88,366,303.8,43139,142,4,69.293,5787,33.571,1.677,110.666,97.362,13.304,66,0.819,54.035,66,72.29,1093,1512,-0.33,0.202,13.304,66,59.9,251,419,59.97,704,1174,0.43352313000000003,1.4751818181818181
Sam Burns,4.42,340,307.4,44884,146,14,69.768,5549,32.422,1.39,95.934,57.804,38.13,69,0.554,38.22,69,68.68,989,1440,-0.33,0.553,38.13,69,59.65,269,451,55.38,618,1116,0.38034984000000005,0.8377391304347827
Keith Mitchell,4.38,320,311.1,42927,138,18,69.916,5978,34.794,1.074,77.349,62.271,15.079,72,0.024,1.747,72,67.64,1047,1548,-0.29,0.209,15.079,72,63.67,319,501,61.76,738,1195,0.41774464,0.8648750000000001
Xander Schauffele,4.37,345,308.6,46296,150,5,69.462,4964,37.253,1.652,94.177,74.616,19.561,57,0.701,39.958,57,70.52,914,1296,-0.33,0.343,19.561,57,62.04,237,382,62.2,627,1008,0.4386344,1.3090526315789475
Collin Morikawa,4.33,325,296.0,44399,150,17,69.863,4178,13.764,0.978,46.926,51.162,-4.237,48,0.854,41.009,48,68.61,741,1080,-0.29,-0.088,-4.237,48,59.59,202,339,65.27,547,838,0.44781746999999994,1.065875
Viktor Hovland,4.28,244,305.1,34780,114,28,70.163,4882,29.387,0.768,43.019,21.247,21.773,56,0.606,33.938,56,66.98,844,1260,-0.34,0.389,21.773,56,59.38,247,416,61.87,610,986,0.41440526,0.37941071428571427
Sungjae Im,4.28,372,299.3,49676,166,13,69.762,6091,48.024,1.668,125.131,100.652,24.48,75,0.308,23.105,75,70.83,1122,1584,-0.29,0.326,24.48,75,66.02,305,462,65.51,811,1238,0.46400733,1.3420266666666667
Patton Kizzire,4.27,209,300.9,27380,91,143,71.285,6346,69.635,-0.143,-11.758,-0.601,-11.155,82,0.213,17.468,82,65.56,1062,1620,-0.29,-0.136,-11.155,82,59.5,332,558,55.89,702,1256,0.36641484,-0.007329268292682926
Wyndham Clark,4.25,302,314.0,42082,134,77,70.771,6817,47.764,0.231,17.359,-9.512,26.869,75,-0.375,-28.115,75,65.23,1139,1746,-0.29,0.358,26.869,75,60.79,369,607,52.64,707,1343,0.34337072,-0.12682666666666667
Tony Finau,4.25,353,308.4,48731,158,11,69.748,5949,49.317,1.499,106.456,99.974,6.486,71,0.659,46.796,71,71.25,1103,1548,-0.3,0.091,6.486,71,63.6,283,445,57.96,699,1206,0.41296499999999997,1.4080845070422536
Taylor Pendrith,4.25,319,312.5,44999,144,51,70.506,4952,53.921,0.619,36.503,41.96,-5.455,59,0.115,6.811,59,70.66,903,1278,-0.28,-0.092,-5.455,59,60.53,227,375,57.01,565,991,0.40283266,0.7111864406779661
Tom Hoge,4.22,401,296.2,53901,182,41,70.366,6714,41.169,0.768,56.862,57.506,-0.645,74,0.664,49.105,74,66.32,1146,1728,-0.29,-0.009,-0.645,74,64.26,374,582,61.56,823,1337,0.40826591999999995,0.7771081081081082
Justin Lower,4.2,332,295.6,44338,150,127,71.093,5068,50.683,-0.261,-14.073,-27.67,13.602,54,0.093,5.006,54,67.36,873,1296,-0.29,0.252,13.602,54,58.39,247,423,60.26,602,999,0.40591135999999994,-0.5124074074074074
Charley Hoffman,4.19,247,303.4,33984,112,156,71.51,4889,45.191,-0.593,-34.404,-9.208,-25.193,58,-0.107,-6.182,58,65.22,810,1242,-0.28,-0.434,-25.193,58,56.48,244,432,50.32,479,952,0.32818704,-0.15875862068965518
Sahith Theegala,4.18,372,306.1,54494,178,80,70.788,7911,88.099,0.339,32.216,36.306,-4.089,95,0.185,17.548,95,66.47,1352,2034,-0.29,-0.043,-4.089,95,63.05,430,682,54.04,850,1573,0.35920388,0.38216842105263155
Justin Thomas,4.18,280,309.8,39034,126,7,69.493,5232,49.477,1.68,102.492,96.939,5.553,61,0.696,42.441,61,68.35,935,1368,-0.35,0.091,5.553,61,64.67,280,433,54.78,584,1066,0.37442129999999996,1.5891639344262294
Maverick McNealy,4.17,317,303.8,44352,146,33,70.282,6138,46.813,0.683,49.867,16.737,33.131,73,-0.004,-0.264,73,66.79,1058,1584,-0.33,0.454,33.131,73,57.98,305,526,57.92,706,1219,0.38684768,0.2292739726027397
Sam Ryder,4.16,254,291.4,33224,114,120,71.064,6202,51.622,-0.028,-2.19,-10.656,8.469,78,0.062,4.818,78,65.66,1040,1584,-0.29,0.109,8.469,78,57.72,314,544,59.74,730,1222,0.39225284,-0.1366153846153846
Jhonattan Vegas,4.14,236,312.1,33705,108,54,70.521,5403,27.128,0.375,22.144,35.836,-13.688,59,0.396,23.35,59,68.11,944,1386,-0.29,-0.232,-13.688,59,57.01,252,442,55.39,586,1058,0.37726129,0.6073898305084745
Cam Davis,4.12,321,302.6,45388,150,72,70.714,5747,51.584,0.542,41.187,33.892,7.295,76,0.269,20.467,76,65.31,964,1476,-0.32,0.096,7.295,76,59.57,305,512,55.74,641,1150,0.36403794,0.44594736842105265
Jason Day,4.08,298,300.8,41515,138,84,70.806,4009,26.944,0.201,10.26,5.733,4.528,51,-0.137,-6.974,51,64.72,664,1026,-0.31,0.089,4.528,51,59.94,217,362,61.19,484,791,0.39602168,0.11241176470588235
Zach Johnson,4.08,196,284.3,25016,88,136,71.174,4536,19.161,-0.203,-11.158,-21.208,10.051,55,-0.159,-8.769,55,64.58,744,1152,-0.27,0.183,10.051,55,55.39,226,408,63.65,569,894,0.41105169999999996,-0.3856
