PLAYER,AVG_Birdies_22,# OF BIRDIES_22,AVG_Driv_22,TOTAL DISTANCE_22,TOTAL DRIVES_22,RANK_22,Avg Score_22,TOTAL STROKES_22,TOTAL ADJUSTMENT_22,AVG_SG:Tot_22,TOTAL SG:T_22,TOTAL SG:T2G_22,TOTAL SG:P_22,MEASURED ROUNDS_22,AVG_SGAppr_22,TOTAL SG:APP_22,MEASURED ROUNDS_SGAppr_22,%_GIReg_22,GREENS HIT_22,# HOLES_22,RELATIVE/PAR_22,AVG_PUT_22,TOTAL SG:PUTTING_22,MEASURED ROUNDS_PUT_22,%_Scram_22,PAR OR BETTER_22,MISSED GIR_22,%_Driv_Acc_22,FAIRWAYS HIT_22,POSSIBLE FAIRWAYS_22,Overall_Acc_22,AVG_SG_Driv_22,AVG_Birdies_23,# OF BIRDIES_23,AVG_Driv_23,TOTAL DISTANCE_23,TOTAL DRIVES_23,RANK_23,Avg Score_23,TOTAL STROKES_23,TOTAL ADJUSTMENT_23,AVG_SG:Tot_23,TOTAL SG:T_23,TOTAL SG:T2G_23,TOTAL SG:P_23,MEASURED ROUNDS_23,AVG_SGAppr_23,TOTAL SG:APP_23,MEASURED ROUNDS_SGAppr_23,%_GIReg_23,GREENS HIT_23,# HOLES_23,RELATIVE/PAR_23,AVG_PUT_23,TOTAL SG:PUTTING_23,MEASURED ROUNDS_PUT_23,%_Scram_23,PAR OR BETTER_23,MISSED GIR_23,%_Driv_Acc_23,FAIRWAYS HIT_23,POSSIBLE FAIRWAYS_23,Overall_Acc_23,AVG_SG_Driv_23,AVG_Birdies,# OF BIRDIES,AVG_Driv,TOTAL DISTANCE,TOTAL DRIVES,RANK,Avg Score,TOTAL STROKES,TOTAL ADJUSTMENT,AVG_SG:Tot,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS,AVG_SGAppr,TOTAL SG:APP,MEASURED ROUNDS_SGAppr,%_GIReg,GREENS HIT,# HOLES,RELATIVE/PAR,AVG_PUT,TOTAL SG:PUTTING,MEASURED ROUNDS_PUT,%_Scram,PAR OR BETTER,MISSED GIR,%_Driv_Acc,FAIRWAYS HIT,POSSIBLE FAIRWAYS,Overall_Acc,AVG_SG_Driv
Scottie Scheffler,4.88,366,303.8,43139,142,4,69.293,5787,33.571,1.677,110.666,97.362,13.304,66,0.819,54.035,66,72.29,1093,1512,-0.33,0.202,13.304,66,59.9,251,419,59.97,704,1174,0.43352313000000003,1.4751818181818181,4.41,388,303.8,43139,142,1,68.629,6007,32.329,2.314,171.199,193.486,-22.286,74,1.269,78.65,62,0.7315999999999999,935,1278,-0.37,0.095,5.864,62,66.18%,227,343,0.6209,760,1224,0.45425044,2.6146756756756755,4.88,366,303.8,43139,142,1,68.645,5101,47.357,2.496,154.741,148.879,5.864,62,1.269,78.65,62,0.7315999999999999,935,1278,-0.37,0.095,5.864,62,66.18%,227,343,0.669,665,994,0.4894404,2.401274193548387
Sam Burns,4.42,340,307.4,44884,146,14,69.768,5549,32.422,1.39,95.934,57.804,38.13,69,0.554,38.22,69,68.68,989,1440,-0.33,0.553,38.13,69,59.65,269,451,55.38,618,1116,0.38034984000000005,0.8377391304347827,3.86,313,307.4,44884,146,37,70.233,5673,15.911,0.796,58.115,15.51,42.609,73,0.173,11.417,66,0.6469,850,1314,-0.37,0.496,32.716,66,60.78%,282,464,0.5661,638,1127,0.36621009000000004,0.21246575342465754,4.42,340,307.4,44884,146,13,70.203,5356,49.666,1.003,66.208,33.493,32.716,66,0.173,11.417,66,0.6469,850,1314,-0.37,0.496,32.716,66,60.78%,282,464,0.6162,631,1024,0.39861978,0.507469696969697
Keith Mitchell,4.38,320,311.1,42927,138,18,69.916,5978,34.794,1.074,77.349,62.271,15.079,72,0.024,1.747,72,67.64,1047,1548,-0.29,0.209,15.079,72,63.67,319,501,61.76,738,1195,0.41774464,0.8648750000000001,3.87,364,311.1,42927,138,73,70.652,6598,43.313,0.483,35.72,31.747,3.976,74,0.669,44.829,67,0.7061,877,1242,-0.31,-0.356,-23.844,67,60.82%,222,365,0.6332,825,1303,0.44710251999999995,0.4290135135135135,4.38,320,311.1,42927,138,9,70.019,5040,71.392,1.024,68.608,92.451,-23.844,67,0.669,44.829,67,0.7061,877,1242,-0.31,-0.356,-23.844,67,60.82%,222,365,0.5782,584,1010,0.40826702,1.379865671641791
Xander Schauffele,4.37,345,308.6,46296,150,5,69.462,4964,37.253,1.652,94.177,74.616,19.561,57,0.701,39.958,57,70.52,914,1296,-0.33,0.343,19.561,57,62.04,237,382,62.2,627,1008,0.4386344,1.3090526315789475,4.21,341,308.6,46296,150,5,69.127,5595,4.323,1.869,115.87,74.49,41.383,62,0.7,45.529,65,0.6962999999999999,940,1350,-0.34,0.546,35.519,65,70.49%,289,410,0.5746,643,1119,0.40009397999999996,1.2014516129032258,4.37,345,308.6,46296,150,2,69.087,5412,45.909,2.068,134.391,98.872,35.519,65,0.7,45.529,65,0.6962999999999999,940,1350,-0.34,0.546,35.519,65,70.49%,289,410,0.6157,644,1046,0.42871191,1.5211076923076923
Collin Morikawa,4.33,325,296.0,44399,150,17,69.863,4178,13.764,0.978,46.926,51.162,-4.237,48,0.854,41.009,48,68.61,741,1080,-0.29,-0.088,-4.237,48,59.59,202,339,65.27,547,838,0.44781746999999994,1.065875,4.21,341,296.0,44399,150,8,69.429,5608,15.742,1.438,89.151,95.89,-6.736,62,0.283,18.399,65,0.6504000000000001,878,1350,-0.34,0.165,10.73,65,65.68%,310,472,0.6803,766,1126,0.44246712000000005,1.5466129032258065,4.33,325,296.0,44399,150,3,69.751,5201,30.298,1.315,85.478,74.748,10.73,65,0.283,18.399,65,0.6504000000000001,878,1350,-0.34,0.165,10.73,65,65.68%,310,472,0.7056999999999999,741,1050,0.45898728,1.1499692307692309
Viktor Hovland,4.28,244,305.1,34780,114,28,70.163,4882,29.387,0.768,43.019,21.247,21.773,56,0.606,33.938,56,66.98,844,1260,-0.34,0.389,21.773,56,59.38,247,416,61.87,610,986,0.41440526,0.37941071428571427,4.41,388,305.1,34780,114,4,69.123,6065,17.843,1.648,115.375,98.851,16.527,70,0.458,23.83,52,0.6784,696,1026,-0.33,0.269,13.993,52,55.15%,182,330,0.637,779,1223,0.4321408,1.4121571428571429,4.28,244,305.1,34780,114,61,70.7,3992,37.884,0.721,37.473,23.48,13.993,52,0.458,23.83,52,0.6784,696,1026,-0.33,0.269,13.993,52,55.15%,182,330,0.6065,484,798,0.4114496,0.45153846153846156
Sungjae Im,4.28,372,299.3,49676,166,13,69.762,6091,48.024,1.668,125.131,100.652,24.48,75,0.308,23.105,75,70.83,1122,1584,-0.29,0.326,24.48,75,66.02,305,462,65.51,811,1238,0.46400733,1.3420266666666667,4.13,429,299.3,49676,166,19,69.839,7218,45.261,1.049,89.164,71.56,17.606,85,0.065,4.873,75,0.6466,966,1494,-0.33,0.133,9.971,75,63.26%,334,528,0.6297999999999999,912,1448,0.4072286799999999,0.8418823529411765,4.28,372,299.3,49676,166,28,70.372,6056,66.324,0.769,57.678,47.707,9.971,75,0.065,4.873,75,0.6466,966,1494,-0.33,0.133,9.971,75,63.26%,334,528,0.6362,738,1160,0.41136691999999997,0.6360933333333333
Patton Kizzire,4.27,209,300.9,27380,91,143,71.285,6346,69.635,-0.143,-11.758,-0.601,-11.155,82,0.213,17.468,82,65.56,1062,1620,-0.29,-0.136,-11.155,82,59.5,332,558,55.89,702,1256,0.36641484,-0.007329268292682926,3.99,399,300.9,27380,91,127,71.319,7021,110.864,-0.38,-31.507,-21.865,-9.638,83,0.491,19.635,40,0.721,597,828,-0.3,-0.197,-7.875,40,60.61%,140,231,0.5794,810,1398,0.4177474,-0.263433734939759,4.27,209,300.9,27380,91,104,71.074,3416,66.617,0.256,10.229,18.103,-7.875,40,0.491,19.635,40,0.721,597,828,-0.3,-0.197,-7.875,40,60.61%,140,231,0.6121,426,696,0.44132409999999994,0.45257500000000006
Wyndham Clark,4.25,302,314.0,42082,134,77,70.771,6817,47.764,0.231,17.359,-9.512,26.869,75,-0.375,-28.115,75,65.23,1139,1746,-0.29,0.358,26.869,75,60.79,369,607,52.64,707,1343,0.34337072,-0.12682666666666667,4.11,419,314.0,42082,134,13,69.642,7079,24.505,1.201,103.278,71.439,31.843,86,0.075,4.643,62,0.6534,788,1206,-0.37,0.476,29.497,62,59.81%,250,418,0.5490999999999999,771,1404,0.35878193999999997,0.8306860465116278,4.25,302,314.0,42082,134,35,70.444,4942,59.526,1.032,63.954,34.456,29.497,62,0.075,4.643,62,0.6534,788,1206,-0.37,0.476,29.497,62,59.81%,250,418,0.5525,516,934,0.3610035,0.555741935483871
Tony Finau,4.25,353,308.4,48731,158,11,69.748,5949,49.317,1.499,106.456,99.974,6.486,71,0.659,46.796,71,71.25,1103,1548,-0.3,0.091,6.486,71,63.6,283,445,57.96,699,1206,0.41296499999999997,1.4080845070422536,4.15,349,308.4,48731,158,20,69.933,5840,34.407,1.124,82.016,91.737,-9.718,73,0.808,57.389,71,0.6899,981,1422,-0.3,-0.297,-21.059,71,58.05%,256,441,0.607,709,1168,0.41876929999999996,1.2566712328767122,4.25,353,308.4,48731,158,21,70.332,5787,50.535,1.033,73.363,94.42,-21.059,71,0.808,57.389,71,0.6899,981,1422,-0.3,-0.297,-21.059,71,58.05%,256,441,0.5836,642,1100,0.40262564,1.3298591549295775
Taylor Pendrith,4.25,319,312.5,44999,144,51,70.506,4952,53.921,0.619,36.503,41.96,-5.455,59,0.115,6.811,59,70.66,903,1278,-0.28,-0.092,-5.455,59,60.53,227,375,57.01,565,991,0.40283266,0.7111864406779661,3.75,371,312.5,44999,144,104,71.012,6965,65.16,0.195,15.621,17.71,-2.085,80,0.137,9.193,67,0.662,858,1296,-0.34,0.573,38.42,67,59.36%,260,438,0.5562,767,1379,0.36820440000000004,0.22137500000000002,4.25,319,312.5,44999,144,20,70.279,5224,46.911,0.779,52.215,13.793,38.42,67,0.137,9.193,67,0.662,858,1296,-0.34,0.573,38.42,67,59.36%,260,438,0.564,564,1000,0.373368,0.20586567164179104
Tom Hoge,4.22,401,296.2,53901,182,41,70.366,6714,41.169,0.768,56.862,57.506,-0.645,74,0.664,49.105,74,66.32,1146,1728,-0.29,-0.009,-0.645,74,64.26,374,582,61.56,823,1337,0.40826591999999995,0.7771081081081082,4.11,427,296.2,53901,182,66,70.567,7270,68.998,0.482,40.93,27.184,13.749,85,0.795,67.572,85,0.6728000000000001,1102,1638,-0.32,0.074,6.28,85,58.96%,316,536,0.5917,855,1445,0.39809576,0.31981176470588235,4.22,401,296.2,53901,182,50,70.627,6629,80.534,0.607,51.565,45.284,6.28,85,0.795,67.572,85,0.6728000000000001,1102,1638,-0.32,0.074,6.28,85,58.96%,316,536,0.6006,764,1272,0.40408368000000006,0.5327529411764705
Justin Lower,4.2,332,295.6,44338,150,127,71.093,5068,50.683,-0.261,-14.073,-27.67,13.602,54,0.093,5.006,54,67.36,873,1296,-0.29,0.252,13.602,54,58.39,247,423,60.26,602,999,0.40591135999999994,-0.5124074074074074,3.98,434,295.6,44338,150,120,71.225,7661,102.531,-0.028,-2.201,-30.536,28.339,80,0.203,14.239,70,0.6896,931,1350,-0.28,0.359,25.151,70,57.52%,241,419,0.5937,903,1521,0.40941552,-0.38170000000000004,4.2,332,295.6,44338,150,47,70.61,5517,61.205,0.318,22.249,-2.904,25.151,70,0.203,14.239,70,0.6896,931,1350,-0.28,0.359,25.151,70,57.52%,241,419,0.5882999999999999,643,1093,0.40569167999999994,-0.041485714285714285
Charley Hoffman,4.19,247,303.4,33984,112,156,71.51,4889,45.191,-0.593,-34.404,-9.208,-25.193,58,-0.107,-6.182,58,65.22,810,1242,-0.28,-0.434,-25.193,58,56.48,244,432,50.32,479,952,0.32818704,-0.15875862068965518,3.68,298,303.4,33984,112,117,71.197,5694,72.953,-0.119,-6.89,21.235,-28.124,58,0.219,11.161,51,0.6587000000000001,664,1008,-0.31,-0.221,-11.284,51,58.72%,202,344,0.5567,623,1119,0.36669829000000004,0.3661206896551724,4.19,247,303.4,33984,112,67,70.832,4133,46.079,0.179,9.151,20.433,-11.284,51,0.219,11.161,51,0.6587000000000001,664,1008,-0.31,-0.221,-11.284,51,58.72%,202,344,0.5649000000000001,470,832,0.37209963000000007,0.4006470588235294
Sahith Theegala,4.18,372,306.1,54494,178,80,70.788,7911,88.099,0.339,32.216,36.306,-4.089,95,0.185,17.548,95,66.47,1352,2034,-0.29,-0.043,-4.089,95,63.05,430,682,54.04,850,1573,0.35920388,0.38216842105263155,4.21,446,306.1,54494,178,35,70.219,7409,34.265,0.788,67.801,26.136,41.668,86,0.284,23.029,81,0.6798000000000001,1089,1602,-0.31,0.311,25.182,81,60.82%,312,513,0.5285,779,1474,0.3592743,0.30390697674418604,4.18,372,306.1,54494,178,25,70.351,6213,48.213,1.033,83.654,58.471,25.182,81,0.284,23.029,81,0.6798000000000001,1089,1602,-0.31,0.311,25.182,81,60.82%,312,513,0.5966,741,1242,0.40556868000000007,0.7218641975308642
Justin Thomas,4.18,280,309.8,39034,126,7,69.493,5232,49.477,1.68,102.492,96.939,5.553,61,0.696,42.441,61,68.35,935,1368,-0.35,0.091,5.553,61,64.67,280,433,54.78,584,1066,0.37442129999999996,1.5891639344262294,4.0,288,309.8,39034,126,58,70.52,5067,10.468,0.836,56.039,66.859,-10.816,67,0.541,30.314,56,0.6473,734,1134,-0.3,-0.499,-27.927,56,61.00%,244,400,0.5519,553,1002,0.35724486999999994,0.9978955223880597,4.18,280,309.8,39034,126,30,70.414,4682,35.72,0.574,32.154,60.081,-27.927,56,0.541,30.314,56,0.6473,734,1134,-0.3,-0.499,-27.927,56,61.00%,244,400,0.5595,489,874,0.36216434999999997,1.072875
Maverick McNealy,4.17,317,303.8,44352,146,33,70.282,6138,46.813,0.683,49.867,16.737,33.131,73,-0.004,-0.264,73,66.79,1058,1584,-0.33,0.454,33.131,73,57.98,305,526,57.92,706,1219,0.38684768,0.2292739726027397,3.62,228,303.8,44352,146,56,70.509,4412,30.091,0.227,11.116,-35.704,46.822,49,-0.156,-10.793,69,0.6583,865,1314,-0.33,0.383,26.42,69,64.59%,290,449,0.5467,474,867,0.35989261,-0.7286530612244898,4.17,317,303.8,44352,146,15,70.239,5275,63.143,0.97,66.93,40.51,26.42,69,-0.156,-10.793,69,0.6583,865,1314,-0.33,0.383,26.42,69,64.59%,290,449,0.594,619,1042,0.3910302,0.5871014492753623
